config_id,seed,d,rho,s,alpha,dimension,status,empirical_kappa,exact_kappa_alpha,exact_absolute_error,exact_relative_error,rho_squared_d,approximation_signed_error,approximation_absolute_error
cfg_518058cdc3ad43f1,202608084,20,0.4,4.0,0.75,4,success,1.2563514393913267,1.2540681275764807,0.0022833118148459786,0.001820723902184276,,,
cfg_51e5284d2a2262c7,202608080,20,-0.4,4.0,0.5,4,success,0.29252887294667085,0.29556650246305416,0.003037629516383311,0.01027731319709687,,,
cfg_51e5284d2a2262c7,202608081,20,-0.4,4.0,0.5,4,success,0.2946677194528709,0.29556650246305416,0.0008987830101832572,0.003040882517786687,,,
cfg_51e5284d2a2262c7,202608082,20,-0.4,4.0,0.5,4,success,0.28657389090947805,0.29556650246305416,0.008992611553576113,0.03042500242293252,,,
cfg_51e5284d2a2262c7,202608083,20,-0.4,4.0,0.5,4,success,0.2948471003678562,0.29556650246305416,0.0007194020951979407,0.002433977088753033,,,
cfg_51e5284d2a2262c7,202608084,20,-0.4,4.0,0.5,4,success,0.29109971074561314,0.29556650246305416,0.004466791717441021,0.015112645310675455,,,
cfg_526d2d3109bfa590,202608080,20,0.4,1.0,0.0,4,success,1.673953592900212,1.739130434782609,0.06517684188239703,0.03747668408237828,3.2000000000000006,1.4608695652173915,1.4608695652173915
cfg_526d2d3109bfa590,202608081,20,0.4,1.0,0.0,4,success,1.7825974068737056,1.739130434782609,0.04346697209109651,0.024993508952380488,3.2000000000000006,1.4608695652173915,1.4608695652173915
cfg_526d2d3109bfa590,202608082,20,0.4,1.0,0.0,4,success,1.6301319845589075,1.739130434782609,0.10899845022370158,0.0626741088786284,3.2000000000000006,1.4608695652173915,1.4608695652173915
cfg_526d2d3109bfa590,202608083,20,0.4,1.0,0.0,4,success,1.802504882607121,1.739130434782609,0.06337444782451196,0.03644030749909437,3.2000000000000006,1.4608695652173915,1.4608695652173915
cfg_526d2d3109bfa590,202608084,20,0.4,1.0,0.0,4,success,1.7377846846007055,1.739130434782609,0.0013457501819036377,0.0007738063545945915,3.2000000000000006,1.4608695652173915,1.4608695652173915
cfg_5347a2ea1d53f1c9,202608080,2,-0.4,0.1,0.5,4,success,0.24644232322777046,0.23346303501945523,0.012979288208315232,0.055594617825616914,,,
cfg_5347a2ea1d53f1c9,202608081,2,-0.4,0.1,0.5,4,success,0.2502604391494957,0.23346303501945523,0.016797404130040466,0.07194888102367333,,,
cfg_5347a2ea1d53f1c9,202608082,2,-0.4,0.1,0.5,4,success,0.25900339331239425,0.23346303501945523,0.02554035829293902,0.10939786802142215,,,
cfg_5347a2ea1d53f1c9,202608083,2,-0.4,0.1,0.5,4,success,0.24829627617492944,0.23346303501945523,0.014833241155474214,0.06353571628261456,,,
cfg_5347a2ea1d53f1c9,202608084,2,-0.4,0.1,0.5,4,success,0.22437943168747917,0.23346303501945523,0.009083603331976053,0.038908100938630764,,,
cfg_536230f0c06add1d,202608080,2,-0.8,1.0,1.0,4,success,1.0,1.0,0.0,0.0,,,
cfg_536230f0c06add1d,202608081,2,-0.8,1.0,1.0,4,success,1.0,1.0,0.0,0.0,,,
cfg_536230f0c06add1d,202608082,2,-0.8,1.0,1.0,4,success,1.0,1.0,0.0,0.0,,,
cfg_536230f0c06add1d,202608083,2,-0.8,1.0,1.0,4,success,1.0,1.0,0.0,0.0,,,
cfg_536230f0c06add1d,202608084,2,-0.8,1.0,1.0,4,success,1.0,1.0,0.0,0.0,,,
cfg_53e0b47fe28e769e,202608080,10,-0.4,0.5,0.25,4,success,0.01703155523766896,0.01755926251097457,0.0005277072733056096,0.03005292921475441,,,
cfg_53e0b47fe28e769e,202608081,10,-0.4,0.5,0.25,4,success,0.02269004572322784,0.01755926251097457,0.00513078321225327,0.2921981039378232,,,
cfg_53e0b47fe28e769e,202608082,10,-0.4,0.5,0.25,4,success,0.020226501798938538,0.01755926251097457,0.002667239287963967,0.15189927744954765,,,
cfg_53e0b47fe28e769e,202608083,10,-0.4,0.5,0.25,4,success,0.013935668002244866,0.01755926251097457,0.003623594508729705,0.20636370727215633,,,
